shop_date,lodging_name,market,num_guests,check_in,check_out,advance,los,hopper_price,competitor_1,competitor_2,competitor_3,competitor_4
12/19/2022,Hotel 19,Atlanta,2,12/19,12/20,0,1,73,118,101,118,118
12/19/2022,Hotel 19,Atlanta,2,12/22,12/23,3,1,85,120,113,120,132
12/19/2022,Hotel 19,Atlanta,2,12/19,12/23,0,4,418,477,439,477,515
12/19/2022,Hotel 19,Atlanta,2,12/22,12/26,3,4,466,531,501,531,588
12/19/2022,Hotel 19,Atlanta,2,12/19,12/25,0,6,618,717,665,717,780
12/19/2022,Hotel 19,Atlanta,2,12/22,12/28,3,6,715,823,776,823,911
12/19/2022,Hotel 38,Atlanta,2,12/19,12/20,0,1,58,87,88,87,90
12/19/2022,Hotel 38,Atlanta,2,12/22,12/23,3,1,39,69,88,87,70
12/19/2022,Hotel 38,Atlanta,2,12/19,12/23,0,4,279,314,352,314,282
12/19/2022,Hotel 38,Atlanta,2,12/22,12/26,3,4,250,285,352,285,282
12/19/2022,Hotel 38,Atlanta,2,12/19,12/25,0,6,405,465,528,465,418
12/19/2022,Hotel 38,Atlanta,2,12/22,12/28,3,6,398,432,528,432,427
12/19/2022,Hotel 150,Atlanta,2,12/19,12/20,0,1,127,151,150,167,157
12/19/2022,Hotel 150,Atlanta,2,12/22,12/23,3,1,101,125,124,138,130
12/19/2022,Hotel 150,Atlanta,2,12/19,12/23,0,4,480,527,552,557,581
12/19/2022,Hotel 150,Atlanta,2,12/22,12/26,3,4,440,487,511,515,537
12/19/2022,Hotel 150,Atlanta,2,12/19,12/25,0,6,739,783,821,828,864
12/19/2022,Hotel 150,Atlanta,2,12/22,12/28,3,6,694,739,774,780,815
12/19/2022,Hotel 229,Atlanta,2,12/19,12/20,0,1,120,151,162,155,178
12/19/2022,Hotel 229,Atlanta,2,12/22,12/23,3,1,126,158,169,162,186
12/19/2022,Hotel 229,Atlanta,2,12/19,12/23,0,4,560,629,672,643,706
12/19/2022,Hotel 229,Atlanta,2,12/22,12/26,3,4,744,816,873,835,917
12/19/2022,Hotel 229,Atlanta,2,12/19,12/25,0,6,817,951,1017,973,1068
12/19/2022,Hotel 229,Atlanta,2,12/22,12/28,3,6,1103,1239,1326,1268,1393
12/19/2022,Hotel 119,Atlanta,2,12/19,12/20,0,1,185,214,214,214,213
12/19/2022,Hotel 119,Atlanta,2,12/22,12/23,3,1,173,193,226,193,192
12/19/2022,Hotel 119,Atlanta,2,12/19,12/23,0,4,821,915,915,915,912
12/19/2022,Hotel 119,Atlanta,2,12/22,12/26,3,4,877,952,1079,952,948
12/19/2022,Hotel 119,Atlanta,2,12/19,12/25,0,6,1309,1367,1367,1367,1362
12/19/2022,Hotel 119,Atlanta,2,12/22,12/28,3,6,1434,1508,1695,1508,1503
12/19/2022,Hotel 144,Atlanta,2,12/19,12/20,0,1,100,127,127,127,126
12/19/2022,Hotel 144,Atlanta,2,12/22,12/23,3,1,94,121,121,121,120
12/19/2022,Hotel 144,Atlanta,2,12/19,12/23,0,4,386,418,418,418,417
12/19/2022,Hotel 144,Atlanta,2,12/22,12/26,3,4,440,488,488,488,486
12/19/2022,Hotel 144,Atlanta,2,12/19,12/25,0,6,574,625,625,625,623
12/19/2022,Hotel 144,Atlanta,2,12/22,12/28,3,6,716,769,769,769,766
12/19/2022,Hotel 245,Atlanta,2,12/19,12/20,0,1,171,191,191,191,190
